NAME	TITLE	SCORE	
Cops6	na	1.5605953	
Hmmr	na	1.5605109	
Slc7a10	na	1.5603306	
Fbxo34	na	1.560312	
Idh3a	na	1.5556084	
Bpgm	na	1.5551823	
Ppap2a	na	1.5543538	
Pold3	na	1.5533726	
Fam129b	na	1.5522237	
Itgal	na	1.5517638	
Pold2	na	1.5515172	
Atp10a	na	1.5489311	
Spcs1	na	1.5477089	
Slc19a2	na	1.5471182	
Kcnk6	na	1.5465839	
3110001I22Rik	na	1.5461662	
Gm9754	na	1.5461662	
Gm14233	na	1.5461662	
Rasl2-9	na	1.5461662	
Ankle1	na	1.5427302	
Lpgat1	na	1.5416992	
Fzr1	na	1.5398209	
Epcam	na	1.5394611	
Zfp821	na	1.5373198	
Scd2	na	1.5371819	
Cse1l	na	1.5363821	
Mt2	na	1.5350524	
Ap3m1	na	1.5344883	
St13	na	1.5342568	
Usp1	na	1.5303724	
Ywhaq	na	1.5298549	
Serpinb6a	na	1.5290601	
Paics	na	1.528906	
Kpna3	na	1.5288641	
Ndufb9	na	1.5275664	
Bcl2l1	na	1.5266411	
Acsl5	na	1.5256346	
Ppp5c	na	1.5250477	
Commd3	na	1.5236665	
Mdh1	na	1.523125	
Txndc17	na	1.5228838	
Mcm8	na	1.5213256	
Nfkb2	na	1.5211248	
Adora2a	na	1.5207853	
Hist1h1b	na	1.5190959	
Tnfrsf10b	na	1.5188558	
Snx19	na	1.5177773	
Zfp597	na	1.5176033	
G3bp1	na	1.5149555	
Ahcy	na	1.5149388	
Psma5	na	1.5147212	
Mrpl37	na	1.514567	
Gpr68	na	1.513383	
Fuom	na	1.5128362	
Dek	na	1.5110544	
Camk2b	na	1.5098053	
Gm26636	na	1.5087346	
Pdk3	na	1.5085399	
Hsp90aa1	na	1.5083185	
Hivep3_1	na	1.5078619	
Slc29a1	na	1.5054882	
Cox5a	na	1.5053718	
Ppcs	na	1.5051433	
Cdkn1a	na	1.5040277	
Psmb5	na	1.5039244	
0610007P14Rik	na	1.503843	
Coq7	na	1.5033224	
Tra2a	na	1.5025349	
Ybx3	na	1.5022681	
Abhd17a	na	1.5005918	
Luzp1	na	1.500394	
Sdc4	na	1.5003902	
Wdr53	na	1.4997123	
H2afz	na	1.4993516	
Ell2	na	1.4992211	
Dnmt1	na	1.4987574	
Src	na	1.4981073	
Spock2	na	1.4980862	
Plxdc1	na	1.4965647	
Oip5	na	1.4964036	
Taldo1	na	1.49524	
Casp8ap2	na	1.4940429	
Hnrnpa1	na	1.4928074	
Cenpm	na	1.4898843	
Zgpat	na	1.4896144	
Mmp9	na	1.4884459	
Lin9	na	1.4870431	
Brsk2	na	1.4867831	
Sec23ip	na	1.4863379	
Cenpk	na	1.486261	
Ssrp1	na	1.4861571	
Fdxr	na	1.4839269	
Cpne1	na	1.4821014	
Ccdc34	na	1.4817038	
Hnrnpa0	na	1.4794824	
Tmem160	na	1.4792827	
Atp2a2	na	1.4784076	
Tmco4	na	1.4757067	
Ckap5	na	1.4753549	
Stk35	na	1.4745435	
Dkkl1	na	1.4742763	
Vmp1	na	1.47402	
Mrpl3	na	1.4731374	
Wdr47	na	1.4706776	
Calm2	na	1.4696472	
Kif11	na	1.467926	
Pfkp	na	1.4676726	
Mcm4	na	1.4676182	
Il1rn	na	1.4671926	
Mrps27	na	1.4660206	
Aspm	na	1.4654133	
Bmp7	na	1.4652596	
Hint1	na	1.463588	
Nfil3	na	1.4601779	
