NAME	TITLE	SCORE	
Plk3	na	0.7760124	
Eif1b	na	0.77596533	
Pde6d	na	0.7753233	
Riok2	na	0.7753056	
Cryzl1	na	0.7743469	
Mpg	na	0.77389514	
Slc2a4rg-ps	na	0.77356	
Glis2	na	0.77306765	
Spcs3	na	0.77302873	
Uqcr11	na	0.77217865	
Fuca1	na	0.7719195	
Tmem192	na	0.7718974	
Ywhaz	na	0.77149236	
Hpcal1	na	0.7709057	
Arl5a	na	0.76949465	
Camkmt	na	0.7692593	
Cox7b	na	0.76881397	
Psmb2	na	0.7685367	
Jtb	na	0.76782084	
Psmb5	na	0.7675192	
Mmadhc	na	0.76569986	
Setd4	na	0.7648448	
Ifitm1	na	0.76446134	
Ezr	na	0.76412976	
Enoph1	na	0.7630712	
Helq	na	0.7619699	
Prrt2	na	0.7614235	
Sec61b	na	0.76117903	
Plekha7	na	0.76018447	
Plagl2	na	0.7601335	
Gm10273	na	0.7596774	
Fam166a	na	0.759512	
Foxred1	na	0.759512	
Mtfr2	na	0.759512	
D930015E06Rik	na	0.7590794	
Tmem2	na	0.75826794	
Mrpl10	na	0.7580431	
Wdr26	na	0.75709397	
Inpp4a	na	0.75684094	
Mapk8	na	0.7564466	
Cbl	na	0.7562412	
Alg14	na	0.7556012	
Tk1	na	0.75542796	
Frmd5	na	0.75527275	
Rad54b	na	0.7552335	
Itgal	na	0.7535956	
Ube2a	na	0.7535447	
Zfp451	na	0.752974	
Slc25a1	na	0.7529347	
Slc25a11	na	0.75281435	
Nudcd2	na	0.75272214	
4922501C03Rik	na	0.7521004	
Aph1c	na	0.752074	
Kcmf1	na	0.75197184	
Gtpbp8	na	0.7515042	
BC031181	na	0.7514493	
Myl12b	na	0.75094223	
