Feature.ID,LNTREGavg,LNTFR_avg,SPTREG_avg,SPTRF_avg,LNTFR_mad,LNFC,SPFC,LNTcon1,LNTcon2,LNTcon3,LNTfh1,LNTfh2,LNTfh3,LNTreg1,LNTreg2,LNTreg3,LNTfr1,LNTfr2,LNTfr3,SpleenTcon1,SpleenTcon2,SpleenTcon3,SpleenTfh1,SpleenTfh2,SpleenTfh3,SpleenTreg1,SpleenTreg2,SpleenTreg3,SpleenTfr1,SpleenTfr2,SpleenTfr3,BloodTcon1,BloodTcon2,BloodTcon3,BloodTfh1,BloodTfh2,BloodTfh3,BloodTreg1,BloodTreg2,BloodTreg3,BloodTfr1,BloodTfr2,BloodTfr3,cat
Cd2bp2,56.81866667,87.962,49.39,114.4683333,22.9328568,1.548117989,2.317641897,107.49,102.506,37.13,117.911,133.531,127.646,20.302,66.502,83.652,78.112,62.644,123.13,136.978,74.742,116.389,124.144,110.718,104.076,55.373,22.901,69.896,100.528,92.98,149.897,49.224,87.458,49.936,86.951,92.624,86.175,91.27,48.473,96.585,199.095,12.033,124.749,y
Nudt5,33.59466667,52.018,20.23766667,45.254,34.374081,1.54840054,2.236127353,46.765,68.337,92.245,50.008,51.727,52.226,34.804,18.559,47.421,22.451,87.967,45.636,43.415,55.033,36.356,57.361,63.677,72.695,23.731,28.106,8.876,36.135,71.672,27.955,44.232,52.121,57.044,49.687,47.708,40.966,107.973,4.509,40.103,74.34,0,1.674,y
Txndc5,55.05866667,85.305,30.51033333,87.378,5.3907336,1.549347363,2.863882182,41.181,34.538,32.489,58.588,57.962,59.599,67.868,37.633,59.675,67.354,124.843,63.718,58.832,46.33,53.019,60.305,44.316,42.443,26.368,21.339,43.824,82.461,79.42,100.253,56.85,43.88,23.663,51.836,83.082,50.432,26.248,23.673,44.621,0,35.004,100.469,y
Plekho2,44.88,69.53533333,43.45233333,98.817,1.8221154,1.54936126,2.27414715,1.396,28.074,14.504,95.114,88.29,46.235,55.686,28.869,50.085,64.08,65.309,79.217,21.619,11.519,21.965,62.425,97.954,76.42,57.482,39.036,33.839,86.631,135.112,74.708,21.908,18.985,22.494,53.747,90.995,29.378,21.475,18.6,47.445,41.015,61.257,17.582,y
Trim37,20.524,31.806,2.461,24.23866667,8.6835882,1.549697915,9.849112828,10.47,7.203,1.16,45.473,20.64,16.129,1.16,9.795,50.617,22.919,33.321,39.178,4.43,15.87,10.351,43.816,17.21,25.624,7.383,0,0,27.796,20.339,24.581,17.055,15.058,3.239,9.794,27.461,11.098,7.158,0,3.954,17.09,0,0.837,y
Sgms1,39.45166667,61.17066667,35.9,58.916,23.580753,1.550521735,1.641114206,98.416,77.572,54.535,52.705,46.757,41.166,30.744,56.708,30.903,34.145,82.636,66.731,43.238,92.66,97.454,61.837,108.28,80.597,20.567,49.966,37.167,49.106,84.263,43.379,132.836,127.93,109.139,191.58,157.089,220.006,76.953,52.419,53.659,84.594,15.314,30.141,y
Rtn3,122.7023333,190.3253333,95.46233333,148.1396667,5.7836226,1.551114214,1.551812757,133.315,68.707,90.505,116.196,152.149,96.618,130.515,128.365,109.227,207.209,179.933,183.834,64.857,121.585,96.696,153.826,139.688,124.508,99.671,104.616,82.1,212.639,90.559,141.221,63.506,102.43,79.808,102.956,92.624,203.196,31.616,72.146,68.344,23.071,131.264,94.608,y
Cst3,106.3513333,165.627,86.24433333,143.115,9.6087306,1.557357062,1.659413372,115.168,53.008,84.413,103.203,158.636,196.461,148.497,61.863,108.694,167.451,155.498,173.932,66.806,84.981,57.563,123.673,119.466,101.367,89.124,86.399,83.21,159.826,121.068,148.451,94.011,65.41,79.538,137.355,92.391,122.081,154.502,108.783,72.298,239.256,322.691,259.544,y
Polr1c,49.843,77.66066667,49.81866667,78.419,4.5693732,1.558105786,1.574088695,71.194,55.039,25.527,94.378,75.401,74.191,12.761,52.583,84.185,64.08,101.74,67.162,48.377,64.504,63.37,86.218,87.341,40.073,47.462,34.872,67.122,63.931,46.974,124.352,52.829,42.37,55.155,20.782,62.37,67.242,84.111,30.437,25.982,0,36.098,97.12,y
Vrk1,70.46033333,109.7956667,62.64666667,105.335,51.0844656,1.558262096,1.681414281,31.409,85.145,31.329,54.176,81.466,75.267,65.548,100.011,45.822,70.161,154.609,104.617,52.275,54.009,55.291,55.241,72.282,77.098,77.522,33.31,77.108,86.167,87.653,142.185,43.123,54.149,37.789,58.047,60.741,40.802,50.705,61.437,53.094,123.046,96.26,45.211,y
Plekhb2,74.866,116.6783333,84.44733333,157.0736667,11.9453082,1.558495623,1.860019263,31.409,67.045,25.237,140.464,158.047,89.245,55.106,61.863,107.629,139.386,101.296,109.353,18.961,72.183,40.9,142.401,112.295,146.745,83.85,113.464,56.028,159.363,105.087,206.771,52.552,58.334,67.571,98.656,88.901,151.458,33.406,167.965,72.863,127.318,106.105,138.144,y
Ube2w,17.46633333,27.25033333,12.24066667,25.722,11.230695,1.560163362,2.101356135,34.201,36.754,34.229,25.494,32.435,39.63,30.163,20.105,2.131,35.08,19.548,27.123,14.531,21.757,32.569,37.455,22.947,12.417,17.403,9.889,9.43,47.253,6.296,23.617,32.724,21.962,21.954,15.049,32.349,27.093,14.317,43.4,1.13,57.25,6.563,0,y
Stard4,29.30566667,45.868,23.59133333,46.32633333,12.7325688,1.565158047,1.963701359,35.597,38.232,8.412,42.286,25.021,56.22,29.003,22.683,36.231,32.742,63.532,41.33,26.935,47.866,3.787,25.088,53.208,54.86,30.587,4.684,35.503,37.061,46.49,55.428,35.913,14.886,22.944,36.787,56.319,24.971,24.458,62.564,53.094,0,17.502,13.396,y
9430038I01Rik,13.637,21.35033333,7.111,12.251,1.4914956,1.565618049,1.722823794,1.396,7.018,5.802,7.477,10.025,12.442,12.761,18.559,9.591,16.839,23.103,24.109,11.164,13.054,14.643,11.425,7.458,0.677,5.801,0,15.532,10.655,15.012,11.086,11.509,17.82,14.846,16.483,19.549,0,53.688,0,0,13.672,0,0,y
Mob1b,29.389,46.019,22.13,49.02766667,7.9185666,1.565857974,2.215439072,68.403,15.884,13.054,42.164,27.633,37.019,22.623,47.428,18.116,51.919,28.878,57.26,13.822,23.549,13.128,28.386,39.44,35.332,18.985,13.012,34.393,49.569,32.446,65.068,32.308,34.431,34.55,43.476,11.403,22.523,11.931,23.109,29.936,7.69,111.574,24.28,y
Hspe1,198.861,311.451,164.4926667,257.7916667,31.6772316,1.566174363,1.567192458,295.248,219.049,282.247,229.082,317.862,266.044,133.415,186.104,277.064,332.095,248.797,353.461,230.719,220.388,210.055,217.311,190.027,211.652,135.004,192.055,166.419,152.877,345.285,275.213,222.549,251.545,199.474,293.581,152.201,277.293,224.893,186.565,117.484,253.782,269.091,88.747,y
Mdfic,45.589,71.451,59.98933333,95.937,5.8429266,1.567285968,1.599234308,0,7.757,12.473,54.666,39.006,24.73,19.142,35.571,82.054,78.58,74.639,61.134,31.719,0.768,0.757,77.148,75.724,43.459,96.507,55.17,28.291,75.975,153.998,57.838,13.034,13.117,2.069,32.965,18.385,12.404,60.846,33.818,23.723,0,140.015,92.096,y
Ggnbp1,18.95233333,29.73033333,11.588,36.84233333,2.4003294,1.568689871,3.179352203,16.054,36.57,12.473,38.487,29.234,19.354,12.761,35.571,8.525,32.274,30.655,26.262,38.63,23.293,22.47,15.665,44.316,28.22,3.692,8.328,22.744,25.48,46.006,39.041,44.232,16.655,30.142,13.855,20.014,16.974,24.458,5.073,36.714,0,0,60.281,y
Gm11808,130.0556667,204.6683333,13.39133333,54.89766667,6.271398,1.573697929,4.09949221,26.523,56.517,54.535,79.547,64.954,14.9,349.78,19.074,21.313,237.144,143.947,232.914,11.518,44.794,85.84,41.342,60.522,7.111,16.348,8.848,14.978,88.484,11.623,64.586,50.195,35.812,50.476,69.991,10.007,28.562,208.787,104.273,354.146,36.743,52.506,22.605,y
Ccdc124,35.725,56.24,18.128,37.518,3.3477108,1.574247726,2.069616064,47.463,31.398,52.214,43.512,53.581,58.063,22.623,52.583,31.969,61.274,63.532,43.914,43.947,57.337,55.039,33.215,41.591,36.912,16.348,3.643,34.393,42.157,5.811,64.586,20.522,25.845,30.052,36.548,47.243,19.422,35.196,80.037,28.806,0,5.469,95.445,y
Pcbd2,25.05933333,39.458,17.64433333,32.689,17.4709584,1.57458299,1.8526628,5.584,18.285,51.634,39.59,59.984,46.235,4.06,24.23,46.888,61.274,22.658,34.442,33.314,49.658,29.539,40.871,34.277,49.216,16.876,0,36.057,12.045,48.427,37.595,33.14,55.357,29.512,46.581,57.948,48.963,15.51,5.073,46.316,17.09,7.657,22.605,y
Gpsm3,27.02933333,42.585,9.686333333,42.89033333,9.0468252,1.575510557,4.427922502,32.805,130.395,57.726,105.042,69.503,85.251,34.224,32.478,14.386,73.435,30.211,24.109,147.788,127.216,97.706,142.047,98.097,82.29,2.637,3.123,23.299,21.773,80.389,26.509,95.953,72.443,70.72,45.387,129.162,91.397,12.527,0.564,63.825,1.709,17.502,31.815,y
Smap1,93.68433333,147.6516667,103.455,170.5346667,22.1915568,1.576055051,1.648394632,55.141,33.061,20.596,119.015,137.49,126.264,49.886,113.415,117.752,171.193,128.397,143.365,77.261,40.955,81.296,217.311,148.006,181.964,129.73,87.44,93.195,161.216,200.973,149.415,87.356,73.738,88.985,131.622,134.747,152.927,158.678,142.601,119.178,138.426,77.665,133.958,y
Pqlc3,28.01466667,44.18833333,31.46666667,84.96166667,5.211339,1.577328542,2.700052966,32.107,21.609,30.458,40.57,31.761,44.546,6.381,35.571,42.092,43.5,39.985,49.08,31.897,28.412,1.767,57.361,51.63,32.623,36.388,54.129,3.883,73.659,102.181,79.045,6.517,23.515,30.501,39.176,41.658,44.719,29.827,33.255,72.298,50.415,71.101,94.608,y
Mynn,11.49266667,18.15333333,11.766,22.115,1.9392408,1.579557978,1.879568247,25.127,21.055,39.161,8.212,17.439,27.342,13.342,21.136,0,9.355,10.663,34.442,11.341,56.313,10.604,18.492,14.342,28.559,32.696,2.602,0,30.575,21.792,13.978,18.719,21.314,6.208,38.22,30.487,26.44,0,13.527,12.991,0,0,0,y
